Params	Time Savings	BD-BR Inc	RDCCOst
AMP=0_BipredSearchRange=2_HadamardME=0_QuadtreeTUMaxDepthInter=1_RefFrames=3_SearchRange=8_TestRect=0.9	0.53	0.034	0.07
AMP=0_BipredSearchRange=0_HadamardME=0_QuadtreeTUMaxDepthInter=1_RefFrames=3_SearchRange=8_TestRect=0.9	0.54	0.036	0.07
AMP=0_BipredSearchRange=0_HadamardME=0_QuadtreeTUMaxDepthInter=1_RefFrames=3_SearchRange=32_TestRect=0.9	0.53	0.031	0.06
AMP=0_BipredSearchRange=0_HadamardME=0_QuadtreeTUMaxDepthInter=1_RefFrames=3_SearchRange=32_TestRect=0.8	0.55	0.034	0.06
AMP=0_BipredSearchRange=0_HadamardME=0_QuadtreeTUMaxDepthInter=1_RefFrames=3_SearchRange=8_TestRect=0.8	0.56	0.038	0.07
AMP=0_BipredSearchRange=0_HadamardME=0_QuadtreeTUMaxDepthInter=1_RefFrames=3_SearchRange=8_TestRect=0.7	0.57	0.039	0.07
AMP=0_BipredSearchRange=0_HadamardME=0_QuadtreeTUMaxDepthInter=1_RefFrames=3_SearchRange=32_TestRect=0.7	0.57	0.038	0.07
AMP=0_BipredSearchRange=2_HadamardME=0_QuadtreeTUMaxDepthInter=1_RefFrames=3_SearchRange=32_TestRect=0.7	0.56	0.036	0.06
AMP=0_BipredSearchRange=2_HadamardME=0_QuadtreeTUMaxDepthInter=1_RefFrames=3_SearchRange=8_TestRect=0.7	0.56	0.039	0.07
AMP=0_BipredSearchRange=2_HadamardME=0_QuadtreeTUMaxDepthInter=1_RefFrames=3_SearchRange=8_TestRect=0.6	0.60	0.044	0.07
AMP=0_BipredSearchRange=2_HadamardME=0_QuadtreeTUMaxDepthInter=1_RefFrames=3_SearchRange=32_TestRect=0.6	0.60	0.043	0.07
AMP=0_BipredSearchRange=0_HadamardME=0_QuadtreeTUMaxDepthInter=1_RefFrames=3_SearchRange=32_TestRect=0.6	0.60	0.043	0.07
AMP=0_BipredSearchRange=0_HadamardME=0_QuadtreeTUMaxDepthInter=1_RefFrames=3_SearchRange=8_TestRect=0.6	0.61	0.046	0.08
AMP=0_BipredSearchRange=0_HadamardME=0_QuadtreeTUMaxDepthInter=1_RefFrames=3_SearchRange=8_TestRect=0.5	0.63	0.050	0.08
AMP=0_BipredSearchRange=0_HadamardME=0_QuadtreeTUMaxDepthInter=1_RefFrames=3_SearchRange=32_TestRect=0.5	0.62	0.048	0.08
AMP=0_BipredSearchRange=0_HadamardME=0_QuadtreeTUMaxDepthInter=1_RefFrames=3_SearchRange=32_TestRect=0.4	0.66	0.052	0.08
AMP=0_BipredSearchRange=2_HadamardME=0_QuadtreeTUMaxDepthInter=1_RefFrames=3_SearchRange=32_TestRect=0.4	0.65	0.051	0.08
AMP=0_BipredSearchRange=2_HadamardME=0_QuadtreeTUMaxDepthInter=2_RefFrames=3_SearchRange=32_TestRect=0.4	0.60	0.042	0.07
